us_since_last_capture,packet_num,channel_num,access_addr,pdu,tx,rx,payload_length,advertising_addr,data,crc
5997423,4882,39,8e89bed6,ADV_IND,1,1,33,6ca15776d208,1eff4c0052191096431e9ca2496a2825b3191d416f6436d3bb0933,1.0
6028947,4926,39,8e89bed6,ADV_IND,1,0,37,9a98f2d6d208,c9d6c54420595ee18d1ba5af427b46cd60eb4222902cebf0c789d217a33da7,1.0
1999004,5041,39,8e89bed6,ADV_IND,1,0,37,989cf6815f08,c9d685443059dee18f19a5af43334ecf60e96222b03cefd0c78df257a13da7,1.0
5997214,5301,39,8e89bed6,ADV_IND,1,0,37,ec815552d208,1eed4c0012191096431f9ca2496a6825b31915416b6436d2f30933a09303d1,1.0
3997932,5378,39,8e89bed6,ADV_IND,1,0,37,9a9ef656d208,c1d6c5442079fbe18f0ba56f167b5ecd60eb6222102ceff4c7edd257a13da7,1.0
11993864,5394,39,8e89bed6,ADV_IND,1,0,37,9a9c7756d208,c1d6c5443059dee1cb1ba5ae427b44cd60eb622a902ce7f0c78dd257a13da7,1.0
4029960,5478,39,8e89bed6,ADV_IND,1,0,37,9b9cf6855208,c1f6c5442059cee18f1ba5af623b4eed60eb4223982cebf0e78dd257a13da7,1.0
1998908,5695,39,8e89bed6,ADV_IND,1,0,37,909ee686d208,c1d6c5440059dfe38f9ecdaf42795ecd60e32222906ceff0478dd257a13da5,1.0
1998956,5736,39,8e89bed6,ADV_IND,1,0,37,929cf756d208,c9d2c54420d9dee18f9ba5a7427b4ecd60eb6262902ceff0c68dd257b53daf,1.0
1998920,5741,39,8e89bed6,ADV_IND,1,0,37,98d85756d208,8176c5442159dae98f3ba58f427b4acd60eb6322902ceef0c78dd257a13da6,1.0
3998030,5808,39,8e89bed6,ADV_IND,1,0,37,9adcf656d208,c1d6c5442019dee18f1ba1af427347cd40eb6222902cecf0e68dd257a13da4,1.0
6028988,5851,39,8e89bed6,ADV_IND,1,0,37,9a9cd6855f58,c1d6d5442059dee18f1ba5af427b4ccc60eb6220902cefe0d78d4257a13da7,1.0
5996822,5878,39,8e89bed6,ADV_IND,1,0,37,9a8cf6845f48,c1d6c7442259dee00e1ba5af427b4ecd60eb6222802cefb0c38dd253a53da7,1.0
3997858,5881,39,8e89bed6,ADV_IND,1,0,37,ec815772d208,1eff4c0016190096431f9ca2596a6825b31915412b6436d2f30933a09303be,1.0
5997063,5925,39,8e89bed6,ADV_IND,1,0,37,1f8cf6a51f4c,c1d6c5442059ded18f1ba5af427b4ec960ab6222802eeff0c7a5d257b13da7,1.0
1998910,5988,39,8e89bed6,ADV_IND,1,0,37,9a8cf6815f4a,c1d6c5442159de618f1ab5af40714ecd20eb6222902cedf0c78992d7a13da7,1.0
6028960,6109,39,8e89bed6,ADV_IND,1,0,37,e4a15756d208,1eef4c0012191096431f9ca2596a6825b31d1d412f6436d3b30933a09303b9,1.0
4029827,6138,39,8e89bed6,ADV_IND,1,0,37,989cf6875208,c1d647442059cee18f1ba5af427b4ecc60eb6222b00ccff0c38dd257a13da7,1.0
6029110,6170,39,8e89bed6,ADV_IND,1,0,37,ec835756c208,1eff4c0012191096431f9ca2496a6825b31915412b6436d2f30933a09303b9,1.0
1998920,6230,39,8e89bed6,ADV_IND,1,0,37,6c811756d208,1eff4c0852191096431f9ca2496a6825b31815412b6436d2b30933a09303b9,1.0
2030980,6256,39,8e89bed6,ADV_IND,1,0,37,9a9cf685df48,c1d6e5440159dee18f5badaf427a4ecf60eb6222902ceff0e7add21fa13da7,1.0
10059161,6353,39,8e89bed6,ADV_IND,1,0,37,9adc76855e08,c196c5453059dec18f1ba5af407b8ecd60eb6222102ce7f0cf8df257a33da7,1.0
10026920,6364,39,8e89bed6,ADV_IND,1,0,37,ec811756c20c,1eff4c0012191096431f9ca2496a6825b31915412fe436d2f30933a0930306,1.0
4029993,6427,39,8e89bed6,ADV_IND,1,0,37,ec815752d20c,1eef85442019dec18f0ba5af427b4ecd60ef6322902ceff0c78dd257a13da7,1.0
